exchange,stock_symbol,date,stock_price_close,stock_gain_loss_dollar,stock_gain_loss_percent,dollar_volume,stock_volume
NASDAQ,AACC,14/04/2009,6.19,-0.62,-0.091042584,238934,38600
NASDAQ,AACC,15/04/2009,6.5,0.31,0.050080775,90350,13900
NASDAQ,AACC,16/04/2009,6.61,0.11,0.016923077,185741,28100
NASDAQ,AACC,17/04/2009,6.89,0.28,0.042360061,782704,113600
NASDAQ,AACC,20/04/2009,6.08,-0.81,-0.117561684,272384,44800
NASDAQ,AACC,21/04/2009,6.64,0.56,0.092105263,105576,15900
NASDAQ,AACC,22/04/2009,6.46,-0.18,-0.027108434,382432,59200
NASDAQ,AACC,23/04/2009,6.18,-0.28,-0.043343653,85284,13800
NASDAQ,AACC,24/04/2009,6.35,0.17,0.027508091,195580,30800
NASDAQ,AACC,27/04/2009,6.01,-0.34,-0.053543307,135225,22500
NASDAQ,AACC,28/04/2009,6.17,0.16,0.026622296,72189,11700
NASDAQ,AACC,29/04/2009,6.98,0.81,0.131280389,269428,38600
NASDAQ,AACC,30/04/2009,8.29,1.31,0.187679083,973246,117400
NASDAQ,AACC,01/05/2009,8.11,-0.18,-0.021712907,416854,51400
NASDAQ,AACC,04/05/2009,8.85,0.74,0.091245376,415065,46900
NASDAQ,AACC,05/05/2009,8.64,-0.21,-0.023728814,361152,41800
NASDAQ,AACC,06/05/2009,9.26,0.62,0.071759259,831548,89800
NASDAQ,AACC,07/05/2009,8.93,-0.33,-0.035637149,459002,51400
NASDAQ,AACC,08/05/2009,9.75,0.82,0.091825308,566475,58100
NASDAQ,AACC,11/05/2009,9.57,-0.18,-0.018461538,752202,78600
NASDAQ,AACC,12/05/2009,9.39,-0.18,-0.018808777,693921,73900
NASDAQ,AACC,13/05/2009,8.38,-1.01,-0.107561235,405592,48400
NASDAQ,AACC,14/05/2009,8.61,0.23,0.027446301,249690,29000
NASDAQ,AACC,15/05/2009,8,-0.61,-0.070847851,329600,41200
NASDAQ,AACC,18/05/2009,8.46,0.46,0.0575,364626,43100
NASDAQ,AACC,19/05/2009,7.73,-0.73,-0.086288416,509407,65900
NASDAQ,AACC,20/05/2009,7.37,-0.36,-0.046571798,569701,77300
NASDAQ,AACC,21/05/2009,6.99,-0.38,-0.05156038,301968,43200
NASDAQ,AACC,22/05/2009,7.1,0.11,0.015736767,156200,22000
NASDAQ,AACC,26/05/2009,8.17,1.07,0.150704225,440363,53900
NASDAQ,AACC,27/05/2009,7.56,-0.61,-0.074663403,368928,48800
NASDAQ,AACC,28/05/2009,8.55,0.99,0.130952381,414675,48500
NASDAQ,AACC,29/05/2009,8.6,0.05,0.005847953,315620,36700
NASDAQ,AACC,01/06/2009,9,0.4,0.046511628,486900,54100
NASDAQ,AACC,02/06/2009,8.8,-0.2,-0.022222222,435600,49500
NASDAQ,AACC,03/06/2009,9.09,0.29,0.032954545,153621,16900
NASDAQ,AACC,04/06/2009,9.05,-0.04,-0.00440044,229870,25400
NASDAQ,AACC,05/06/2009,8.86,-0.19,-0.020994475,192262,21700
NASDAQ,AACC,08/06/2009,8.99,0.13,0.014672686,288579,32100
NASDAQ,AACC,09/06/2009,8.94,-0.05,-0.005561735,174330,19500
NASDAQ,AACC,10/06/2009,8.92,-0.02,-0.002237136,266708,29900
NASDAQ,AACC,11/06/2009,8.91,-0.01,-0.001121076,100683,11300
NASDAQ,AACC,12/06/2009,9.02,0.11,0.012345679,182204,20200
